    dgrf1975
 10 6371.2 1975
1 0 -30100.0 0.0
1 1 -2013.0 5675.0
2 0 -1902.0 0.0
2 1 3010.0 -2067.0
2 2 1632.0 -68.0
3 0 1276.0 0.0
3 1 -2144.0 -333.0
3 2 1260.0 262.0
3 3 830.0 -223.0
4 0 946.0 0.0
4 1 791.0 191.0
4 2 438.0 -265.0
4 3 -405.0 39.0
4 4 216.0 -288.0
5 0 -218.0 0.0
5 1 356.0 31.0
5 2 264.0 148.0
5 3 -59.0 -152.0
5 4 -159.0 -83.0
5 5 -49.0 88.0
6 0 45.0 0.0
6 1 66.0 -13.0
6 2 28.0 99.0
6 3 -198.0 75.0
6 4 1.0 -41.0
6 5 6.0 -4.0
6 6 -111.0 11.0
7 0 71.0 0.0
7 1 -56.0 -77.0
7 2 1.0 -26.0
7 3 16.0 -5.0
7 4 -14.0 10.0
7 5 0.0 22.0
7 6 12.0 -23.0
7 7 -5.0 -12.0
8 0 14.0 0.0
8 1 6.0 6.0
8 2 -1.0 -16.0
8 3 -12.0 4.0
8 4 -8.0 -19.0
8 5 4.0 6.0
8 6 0.0 18.0
8 7 10.0 -10.0
8 8 1.0 -17.0
9 0 7.0 0.0
9 1 10.0 -21.0
9 2 2.0 16.0
9 3 -12.0 7.0
9 4 10.0 -4.0
9 5 -1.0 -5.0
9 6 -1.0 10.0
9 7 4.0 11.0
9 8 1.0 -3.0
9 9 -2.0 1.0
10 0 -3.0 0.0
10 1 -3.0 1.0
10 2 2.0 1.0
10 3 -5.0 3.0
10 4 -2.0 4.0
10 5 5.0 -4.0
10 6 4.0 -1.0
10 7 1.0 -1.0
10 8 0.0 3.0
10 9 3.0 1.0
10 10 -1.0 -5.0
