    dgrf1970
 10 6371.2 1970
1 0 -30220.0 0.0
1 1 -2068.0 5737.0
2 0 -1781.0 0.0
2 1 3000.0 -2047.0
2 2 1611.0 25.0
3 0 1287.0 0.0
3 1 -2091.0 -366.0
3 2 1278.0 251.0
3 3 838.0 -196.0
4 0 952.0 0.0
4 1 800.0 167.0
4 2 461.0 -266.0
4 3 -395.0 26.0
4 4 234.0 -279.0
5 0 -216.0 0.0
5 1 359.0 26.0
5 2 262.0 139.0
5 3 -42.0 -139.0
5 4 -160.0 -91.0
5 5 -56.0 83.0
6 0 43.0 0.0
6 1 64.0 -12.0
6 2 15.0 100.0
6 3 -212.0 72.0
6 4 2.0 -37.0
6 5 3.0 -6.0
6 6 -112.0 1.0
7 0 72.0 0.0
7 1 -57.0 -70.0
7 2 1.0 -27.0
7 3 14.0 -4.0
7 4 -22.0 8.0
7 5 -2.0 23.0
7 6 13.0 -23.0
7 7 -2.0 -11.0
8 0 14.0 0.0
8 1 6.0 7.0
8 2 -2.0 -15.0
8 3 -13.0 6.0
8 4 -3.0 -17.0
8 5 5.0 6.0
8 6 0.0 21.0
8 7 11.0 -6.0
8 8 3.0 -16.0
9 0 8.0 0.0
9 1 10.0 -21.0
9 2 2.0 16.0
9 3 -12.0 6.0
9 4 10.0 -4.0
9 5 -1.0 -5.0
9 6 0.0 10.0
9 7 3.0 11.0
9 8 1.0 -2.0
9 9 -1.0 1.0
10 0 -3.0 0.0
10 1 -3.0 1.0
10 2 2.0 1.0
10 3 -5.0 3.0
10 4 -1.0 4.0
10 5 6.0 -4.0
10 6 4.0 0.0
10 7 1.0 -1.0
10 8 0.0 3.0
10 9 3.0 1.0
10 10 -1.0 -4.0
