    dgrf1945
 10 6371.2 1945
1 0 -30594.0 0.0
1 1 -2285.0 5810.0
2 0 -1244.0 0.0
2 1 2990.0 -1702.0
2 2 1578.0 477.0
3 0 1282.0 0.0
3 1 -1834.0 -499.0
3 2 1255.0 186.0
3 3 913.0 -11.0
4 0 944.0 0.0
4 1 776.0 144.0
4 2 544.0 -276.0
4 3 -421.0 -55.0
4 4 304.0 -178.0
5 0 -253.0 0.0
5 1 346.0 -12.0
5 2 194.0 95.0
5 3 -20.0 -67.0
5 4 -142.0 -119.0
5 5 -82.0 82.0
6 0 59.0 0.0
6 1 57.0 6.0
6 2 6.0 100.0
6 3 -246.0 16.0
6 4 -25.0 -9.0
6 5 21.0 -16.0
6 6 -104.0 -39.0
7 0 70.0 0.0
7 1 -40.0 -45.0
7 2 0.0 -18.0
7 3 0.0 2.0
7 4 -29.0 6.0
7 5 -10.0 28.0
7 6 15.0 -17.0
7 7 29.0 -22.0
8 0 13.0 0.0
8 1 7.0 12.0
8 2 -8.0 -21.0
8 3 -5.0 -12.0
8 4 9.0 -7.0
8 5 7.0 2.0
8 6 -10.0 18.0
8 7 7.0 3.0
8 8 2.0 -11.0
9 0 5.0 0.0
9 1 -21.0 -27.0
9 2 1.0 17.0
9 3 -11.0 29.0
9 4 3.0 -9.0
9 5 16.0 4.0
9 6 -3.0 9.0
9 7 -4.0 6.0
9 8 -3.0 1.0
9 9 -4.0 8.0
10 0 -3.0 0.0
10 1 11.0 5.0
10 2 1.0 1.0
10 3 2.0 -20.0
10 4 -5.0 -1.0
10 5 -1.0 -6.0
10 6 8.0 6.0
10 7 -1.0 -4.0
10 8 -3.0 -2.0
10 9 5.0 0.0
10 10 -2.0 -2.0
