    dgrf1965
 10 6371.2 1965
1 0 -30334.0 0.0
1 1 -2119.0 5776.0
2 0 -1662.0 0.0
2 1 2997.0 -2016.0
2 2 1594.0 114.0
3 0 1297.0 0.0
3 1 -2038.0 -404.0
3 2 1292.0 240.0
3 3 856.0 -165.0
4 0 957.0 0.0
4 1 804.0 148.0
4 2 479.0 -269.0
4 3 -390.0 13.0
4 4 252.0 -269.0
5 0 -219.0 0.0
5 1 358.0 19.0
5 2 254.0 128.0
5 3 -31.0 -126.0
5 4 -157.0 -97.0
5 5 -62.0 81.0
6 0 45.0 0.0
6 1 61.0 -11.0
6 2 8.0 100.0
6 3 -228.0 68.0
6 4 4.0 -32.0
6 5 1.0 -8.0
6 6 -111.0 -7.0
7 0 75.0 0.0
7 1 -57.0 -61.0
7 2 4.0 -27.0
7 3 13.0 -2.0
7 4 -26.0 6.0
7 5 -6.0 26.0
7 6 13.0 -23.0
7 7 1.0 -12.0
8 0 13.0 0.0
8 1 5.0 7.0
8 2 -4.0 -12.0
8 3 -14.0 9.0
8 4 0.0 -16.0
8 5 8.0 4.0
8 6 -1.0 24.0
8 7 11.0 -3.0
8 8 4.0 -17.0
9 0 8.0 0.0
9 1 10.0 -22.0
9 2 2.0 15.0
9 3 -13.0 7.0
9 4 10.0 -4.0
9 5 -1.0 -5.0
9 6 -1.0 10.0
9 7 5.0 10.0
9 8 1.0 -4.0
9 9 -2.0 1.0
10 0 -2.0 0.0
10 1 -3.0 2.0
10 2 2.0 1.0
10 3 -5.0 2.0
10 4 -2.0 6.0
10 5 4.0 -4.0
10 6 4.0 0.0
10 7 0.0 -2.0
10 8 2.0 3.0
10 9 2.0 0.0
10 10 0.0 -6.0
