    dgrf2000
 13 6371.2 2000
1 0 -29619.4 0.0
1 1 -1728.2 5186.1
2 0 -2267.7 0.0
2 1 3068.4 -2481.6
2 2 1670.9 -458.0
3 0 1339.6 0.0
3 1 -2288.0 -227.6
3 2 1252.1 293.4
3 3 714.5 -491.1
4 0 932.3 0.0
4 1 786.8 272.6
4 2 250.0 -231.9
4 3 -403.0 119.8
4 4 111.3 -303.8
5 0 -218.8 0.0
5 1 351.4 43.8
5 2 222.3 171.9
5 3 -130.4 -133.1
5 4 -168.6 -39.3
5 5 -12.9 106.3
6 0 72.3 0.0
6 1 68.2 -17.4
6 2 74.2 63.7
6 3 -160.9 65.1
6 4 -5.9 -61.2
6 5 16.9 0.7
6 6 -90.4 43.8
7 0 79.0 0.0
7 1 -74.0 -64.6
7 2 0.0 -24.2
7 3 33.3 6.2
7 4 9.1 24.0
7 5 6.9 14.8
7 6 7.3 -25.4
7 7 -1.2 -5.8
8 0 24.4 0.0
8 1 6.6 11.9
8 2 -9.2 -21.5
8 3 -7.9 8.5
8 4 -16.6 -21.5
8 5 9.1 15.5
8 6 7.0 8.9
8 7 -7.9 -14.9
8 8 -7.0 -2.1
9 0 5.0 0.0
9 1 9.4 -19.7
9 2 3.0 13.4
9 3 -8.4 12.5
9 4 6.3 -6.2
9 5 -8.9 -8.4
9 6 -1.5 8.4
9 7 9.3 3.8
9 8 -4.3 -8.2
9 9 -8.2 4.8
10 0 -2.6 0.0
10 1 -6.0 1.7
10 2 1.7 0.0
10 3 -3.1 4.0
10 4 -0.5 4.9
10 5 3.7 -5.9
10 6 1.0 -1.2
10 7 2.0 -2.9
10 8 4.2 0.2
10 9 0.3 -2.2
10 10 -1.1 -7.4
11 0 2.7 0.0
11 1 -1.7 0.1
11 2 -1.9 1.3
11 3 1.5 -0.9
11 4 -0.1 -2.6
11 5 0.1 0.9
11 6 -0.7 -0.7
11 7 0.7 -2.8
11 8 1.7 -0.9
11 9 0.1 -1.2
11 10 1.2 -1.9
11 11 4.0 -0.9
12 0 -2.2 0.0
12 1 -0.3 -0.4
12 2 0.2 0.3
12 3 0.9 2.5
12 4 -0.2 -2.6
12 5 0.9 0.7
12 6 -0.5 0.3
12 7 0.3 0.0
12 8 -0.3 0.0
12 9 -0.4 0.3
12 10 -0.1 -0.9
12 11 -0.2 -0.4
12 12 -0.4 0.8
13 0 -0.2 0.0
13 1 -0.9 -0.9
13 2 0.3 0.2
13 3 0.1 1.8
13 4 -0.4 -0.4
13 5 1.3 -1.0
13 6 -0.4 -0.1
13 7 0.7 0.7
13 8 -0.4 0.3
13 9 0.3 0.6
13 10 -0.1 0.3
13 11 0.4 -0.2
13 12 0.0 -0.5
13 13 0.1 -0.9
