    dgrf1955
 10 6371.2 1955
1 0 -30500.0 0.0
1 1 -2215.0 5820.0
2 0 -1440.0 0.0
2 1 3003.0 -1898.0
2 2 1581.0 291.0
3 0 1302.0 0.0
3 1 -1944.0 -462.0
3 2 1288.0 216.0
3 3 882.0 -83.0
4 0 958.0 0.0
4 1 796.0 133.0
4 2 510.0 -274.0
4 3 -397.0 -23.0
4 4 290.0 -230.0
5 0 -229.0 0.0
5 1 360.0 15.0
5 2 230.0 110.0
5 3 -23.0 -98.0
5 4 -152.0 -121.0
5 5 -69.0 78.0
6 0 47.0 0.0
6 1 57.0 -9.0
6 2 3.0 96.0
6 3 -247.0 48.0
6 4 -8.0 -16.0
6 5 7.0 -12.0
6 6 -107.0 -24.0
7 0 65.0 0.0
7 1 -56.0 -50.0
7 2 2.0 -24.0
7 3 10.0 -4.0
7 4 -32.0 8.0
7 5 -11.0 28.0
7 6 9.0 -20.0
7 7 18.0 -18.0
8 0 11.0 0.0
8 1 9.0 10.0
8 2 -6.0 -15.0
8 3 -14.0 5.0
8 4 6.0 -23.0
8 5 10.0 3.0
8 6 -7.0 23.0
8 7 6.0 -4.0
8 8 9.0 -13.0
9 0 4.0 0.0
9 1 9.0 -11.0
9 2 -4.0 12.0
9 3 -5.0 7.0
9 4 2.0 6.0
9 5 4.0 -2.0
9 6 1.0 10.0
9 7 2.0 7.0
9 8 2.0 -6.0
9 9 5.0 5.0
10 0 -3.0 0.0
10 1 -5.0 -4.0
10 2 -1.0 0.0
10 3 2.0 -8.0
10 4 -3.0 -2.0
10 5 7.0 -4.0
10 6 4.0 1.0
10 7 -2.0 -3.0
10 8 6.0 7.0
10 9 -2.0 -1.0
10 10 0.0 -3.0
