    dgrf1985
 10 6371.2 1985
1 0 -29873.0 0.0
1 1 -1905.0 5500.0
2 0 -2072.0 0.0
2 1 3044.0 -2197.0
2 2 1687.0 -306.0
3 0 1296.0 0.0
3 1 -2208.0 -310.0
3 2 1247.0 284.0
3 3 829.0 -297.0
4 0 936.0 0.0
4 1 780.0 232.0
4 2 361.0 -249.0
4 3 -424.0 69.0
4 4 170.0 -297.0
5 0 -214.0 0.0
5 1 355.0 47.0
5 2 253.0 150.0
5 3 -93.0 -154.0
5 4 -164.0 -75.0
5 5 -46.0 95.0
6 0 53.0 0.0
6 1 65.0 -16.0
6 2 51.0 88.0
6 3 -185.0 69.0
6 4 4.0 -48.0
6 5 16.0 -1.0
6 6 -102.0 21.0
7 0 74.0 0.0
7 1 -62.0 -83.0
7 2 3.0 -27.0
7 3 24.0 -2.0
7 4 -6.0 20.0
7 5 4.0 17.0
7 6 10.0 -23.0
7 7 0.0 -7.0
8 0 21.0 0.0
8 1 6.0 8.0
8 2 0.0 -19.0
8 3 -11.0 5.0
8 4 -9.0 -23.0
8 5 4.0 11.0
8 6 4.0 14.0
8 7 4.0 -15.0
8 8 -4.0 -11.0
9 0 5.0 0.0
9 1 10.0 -21.0
9 2 1.0 15.0
9 3 -12.0 9.0
9 4 9.0 -6.0
9 5 -3.0 -6.0
9 6 -1.0 9.0
9 7 7.0 9.0
9 8 1.0 -7.0
9 9 -5.0 2.0
10 0 -4.0 0.0
10 1 -4.0 1.0
10 2 3.0 0.0
10 3 -5.0 3.0
10 4 -2.0 6.0
10 5 5.0 -4.0
10 6 3.0 0.0
10 7 1.0 -1.0
10 8 2.0 4.0
10 9 3.0 0.0
10 10 0.0 -6.0
