    dgrf1995
 10 6371.2 1995
1 0 -29692.0 0.0
1 1 -1784.0 5306.0
2 0 -2200.0 0.0
2 1 3070.0 -2366.0
2 2 1681.0 -413.0
3 0 1335.0 0.0
3 1 -2267.0 -262.0
3 2 1249.0 302.0
3 3 759.0 -427.0
4 0 940.0 0.0
4 1 780.0 262.0
4 2 290.0 -236.0
4 3 -418.0 97.0
4 4 122.0 -306.0
5 0 -214.0 0.0
5 1 352.0 46.0
5 2 235.0 165.0
5 3 -118.0 -143.0
5 4 -166.0 -55.0
5 5 -17.0 107.0
6 0 68.0 0.0
6 1 67.0 -17.0
6 2 68.0 72.0
6 3 -170.0 67.0
6 4 -1.0 -58.0
6 5 19.0 1.0
6 6 -93.0 36.0
7 0 77.0 0.0
7 1 -72.0 -69.0
7 2 1.0 -25.0
7 3 28.0 4.0
7 4 5.0 24.0
7 5 4.0 17.0
7 6 8.0 -24.0
7 7 -2.0 -6.0
8 0 25.0 0.0
8 1 6.0 11.0
8 2 -6.0 -21.0
8 3 -9.0 8.0
8 4 -14.0 -23.0
8 5 9.0 15.0
8 6 6.0 11.0
8 7 -5.0 -16.0
8 8 -7.0 -4.0
9 0 4.0 0.0
9 1 9.0 -20.0
9 2 3.0 15.0
9 3 -10.0 12.0
9 4 8.0 -6.0
9 5 -8.0 -8.0
9 6 -1.0 8.0
9 7 10.0 5.0
9 8 -2.0 -8.0
9 9 -8.0 3.0
10 0 -3.0 0.0
10 1 -6.0 1.0
10 2 2.0 0.0
10 3 -4.0 4.0
10 4 -1.0 5.0
10 5 4.0 -5.0
10 6 2.0 -1.0
10 7 2.0 -2.0
10 8 5.0 1.0
10 9 1.0 -2.0
10 10 0.0 -7.0
