    dgrf1960
 10 6371.2 1960
1 0 -30421.0 0.0
1 1 -2169.0 5791.0
2 0 -1555.0 0.0
2 1 3002.0 -1967.0
2 2 1590.0 206.0
3 0 1302.0 0.0
3 1 -1992.0 -414.0
3 2 1289.0 224.0
3 3 878.0 -130.0
4 0 957.0 0.0
4 1 800.0 135.0
4 2 504.0 -278.0
4 3 -394.0 3.0
4 4 269.0 -255.0
5 0 -222.0 0.0
5 1 362.0 16.0
5 2 242.0 125.0
5 3 -26.0 -117.0
5 4 -156.0 -114.0
5 5 -63.0 81.0
6 0 46.0 0.0
6 1 58.0 -10.0
6 2 1.0 99.0
6 3 -237.0 60.0
6 4 -1.0 -20.0
6 5 -2.0 -11.0
6 6 -113.0 -17.0
7 0 67.0 0.0
7 1 -56.0 -55.0
7 2 5.0 -28.0
7 3 15.0 -6.0
7 4 -32.0 7.0
7 5 -7.0 23.0
7 6 17.0 -18.0
7 7 8.0 -17.0
8 0 15.0 0.0
8 1 6.0 11.0
8 2 -4.0 -14.0
8 3 -11.0 7.0
8 4 2.0 -18.0
8 5 10.0 4.0
8 6 -5.0 23.0
8 7 10.0 1.0
8 8 8.0 -20.0
9 0 4.0 0.0
9 1 6.0 -18.0
9 2 0.0 12.0
9 3 -9.0 2.0
9 4 1.0 0.0
9 5 4.0 -3.0
9 6 -1.0 9.0
9 7 -2.0 8.0
9 8 3.0 0.0
9 9 -1.0 5.0
10 0 1.0 0.0
10 1 -3.0 4.0
10 2 4.0 1.0
10 3 0.0 0.0
10 4 -1.0 2.0
10 5 4.0 -5.0
10 6 6.0 1.0
10 7 1.0 -1.0
10 8 -1.0 6.0
10 9 2.0 0.0
10 10 0.0 -7.0
